original_name_rna,orginal_name_protein,new_name_rna,new_name_protein
rna_north_importer_glucose,protein_north_importer_glucose,rna_1,protein_1
rna_south_importer_glucose,protein_south_importer_glucose,rna_2,protein_2
rna_east_importer_glucose,protein_east_importer_glucose,rna_3,protein_3
rna_west_importer_glucose,protein_west_importer_glucose,rna_4,protein_4
rna_north_exporter_glucose,protein_north_exporter_glucose,rna_5,protein_5
rna_south_exporter_glucose,protein_south_exporter_glucose,rna_6,protein_6
rna_west_exporter_glucose,protein_west_exporter_glucose,rna_7,protein_7
rna_east_exporter_glucose,protein_east_exporter_glucose,rna_8,protein_8
rna_east_importer_H2O,protein_east_importer_H2O,rna_9,protein_9
rna_east_importer_O2,protein_east_importer_O2,rna_10,protein_10
rna_east_importer_NH4Cl,protein_east_importer_NH4Cl,rna_11,protein_11
rna_east_importer_KH2PO4,protein_east_importer_KH2PO4,rna_12,protein_12
rna_east_importer_MgSO4,protein_east_importer_MgSO4,rna_13,protein_13
rna_east_importer_NaCl,protein_east_importer_NaCl,rna_14,protein_14
rna_east_importer_CaCl2,protein_east_importer_CaCl2,rna_15,protein_15
rna_east_importer_FeSO4,protein_east_importer_FeSO4,rna_16,protein_16
rna_east_importer_ZnCl2,protein_east_importer_ZnCl2,rna_17,protein_17
rna_west_importer_H2O,protein_west_importer_H2O,rna_18,protein_18
rna_west_importer_O2,protein_west_importer_O2,rna_19,protein_19
rna_west_importer_NH4Cl,protein_west_importer_NH4Cl,rna_20,protein_20
rna_west_importer_KH2PO4,protein_west_importer_KH2PO4,rna_21,protein_21
rna_west_importer_MgSO4,protein_west_importer_MgSO4,rna_22,protein_22
rna_west_importer_NaCl,protein_west_importer_NaCl,rna_23,protein_23
rna_west_importer_CaCl2,protein_west_importer_CaCl2,rna_24,protein_24
rna_west_importer_FeSO4,protein_west_importer_FeSO4,rna_25,protein_25
rna_west_importer_ZnCl2,protein_west_importer_ZnCl2,rna_26,protein_26
rna_north_importer_H2O,protein_north_importer_H2O,rna_27,protein_27
rna_north_importer_O2,protein_north_importer_O2,rna_28,protein_28
rna_north_importer_NH4Cl,protein_north_importer_NH4Cl,rna_29,protein_29
rna_north_importer_KH2PO4,protein_north_importer_KH2PO4,rna_30,protein_30
rna_north_importer_MgSO4,protein_north_importer_MgSO4,rna_31,protein_31
