day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9743589743585029,4173.16259765625,7.08994722366333,0.0,0.0,0.0,24.208993911743164,93.04232788085938,60.292327880859375,22.38756561279297,60.8716926574707,31.855819702148438,26.067461013793945,73.70237731933594,0.0,0.0,0.0
1,0.9688109161788651,4284.9443359375,7.0,0.0,0.0,0.0,24.130952835083008,94.43254089355469,61.292327880859375,22.046297073364258,61.4603157043457,36.64814758300781,25.993385314941406,74.26322937011719,0.0,0.0,0.0
2,0.9667318982382745,4365.0517578125,7.072751522064209,0.0,0.0,0.0,24.5,93.2354507446289,60.37434005737305,21.988094329833984,61.21957778930664,39.05555725097656,26.05158805847168,73.9854507446289,0.0,0.0,0.0
3,0.9743589743585029,4441.47607421875,6.984127044677734,0.0,0.0,0.0,24.615079879760742,93.69577026367188,60.84391403198242,21.907407760620117,61.849205017089844,41.47751235961914,25.72222137451172,74.32010650634766,0.0,0.0,0.0
4,0.9748062015499153,4513.130859375,6.887566089630127,0.0,0.0,0.0,24.80820083618164,92.27909851074219,59.18783187866211,21.20105743408203,61.2830696105957,43.80687713623047,25.715608596801758,73.07672119140625,0.0,0.0,0.0
5,0.9712615684359613,4590.00146484375,6.976190567016602,0.0,0.0,0.0,25.043651580810547,94.37433624267578,61.13888931274414,22.207672119140625,62.3716926574707,45.49074172973633,25.4193115234375,73.78836059570312,0.0,0.0,0.0
6,0.9707602339176555,4677.6337890625,6.9060845375061035,0.0,0.0,0.0,25.079364776611328,93.46031951904297,60.84788513183594,21.69179916381836,61.957672119140625,46.83597946166992,25.427248001098633,73.78836059570312,0.0,0.0,0.0
7,0.9732620320850883,4760.8837890625,7.11904764175415,0.0,0.0,0.0,25.425926208496094,95.15608215332031,61.64285659790039,21.88359832763672,63.11507797241211,47.484127044677734,25.075397491455078,74.19312286376953,0.0,0.0,0.0
8,0.9930209371879397,4840.23291015625,7.10449743270874,0.0,0.0,0.0,25.27777862548828,94.37036895751953,61.55687713623047,21.644180297851562,62.78571319580078,48.0806884765625,24.988094329833984,74.3373031616211,0.0,0.0,0.0
9,0.9940239043819751,4585.21044921875,6.3664021492004395,0.0,0.0,0.0,24.461639404296875,90.99735260009766,60.091270446777344,19.97751235961914,60.13359832763672,47.99074172973633,23.72089958190918,70.83465576171875,0.0,0.0,0.0
10,0.991487230845773,4753.73681640625,6.693121910095215,0.0,0.0,0.0,24.69576644897461,91.94047546386719,60.908729553222656,20.365079879760742,60.49470901489258,47.88756561279297,23.85978889465332,71.67327880859375,0.0,0.0,0.0
11,0.9965122072740425,4790.9140625,6.552909851074219,0.0,0.0,0.0,24.181217193603516,91.56745910644531,58.85581970214844,19.9431209564209,60.51852035522461,47.260581970214844,23.36375617980957,69.29497528076172,0.0,0.0,0.0
12,0.9980178394445005,4897.23388671875,6.468254089355469,0.0,0.0,0.0,24.43915367126465,91.26851654052734,60.9193115234375,20.03174591064453,60.433860778808594,46.9523811340332,23.17195701599121,70.63491821289062,0.0,0.0,0.0
13,0.9980139026807359,4942.533203125,6.597883701324463,0.0,0.0,0.0,24.664020538330078,91.87963104248047,60.7103157043457,19.784391403198242,61.20105743408203,46.51852035522461,22.904762268066406,69.74603271484375,0.0,0.0,0.0
14,0.9899899899894945,5049.72509765625,6.51455020904541,0.0,0.0,0.0,24.572751998901367,91.77909851074219,61.769840240478516,19.842592239379883,61.489418029785156,45.929893493652344,22.708993911743164,70.38491821289062,0.0,0.0,0.0
15,0.9899899899894945,5110.97509765625,6.5211639404296875,0.0,0.0,0.0,24.76984214782715,92.0806884765625,61.997352600097656,19.57804298400879,62.10581970214844,45.11772537231445,22.317461013793945,69.86111450195312,0.0,0.0,0.0
