day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9743589743585029,4173.12841796875,7.088624477386475,0.0,0.0,0.0,24.208993911743164,93.03306579589844,60.30026626586914,22.38624382019043,60.873016357421875,31.855819702148438,26.067461013793945,73.68650817871094,0.0,0.0,0.0
1,0.9688109161788651,4285.0966796875,7.013227462768555,0.0,0.0,0.0,24.123016357421875,94.44973754882812,61.31349182128906,22.003969192504883,61.376983642578125,36.63888931274414,26.010581970214844,74.25529479980469,0.0,0.0,0.0
2,0.9667318982382745,4365.59912109375,7.066137790679932,0.0,0.0,0.0,24.5,93.20767211914062,60.41534423828125,21.933862686157227,61.25,39.038360595703125,26.05290985107422,73.98015594482422,0.0,0.0,0.0
3,0.9748305905125969,4443.68896484375,6.993386268615723,0.0,0.0,0.0,24.60714340209961,94.34788513183594,61.77248764038086,22.11640167236328,62.02513122558594,41.510581970214844,25.746030807495117,74.6547622680664,0.0,0.0,0.0
4,0.9753026634377844,4515.43115234375,6.931216716766357,0.0,0.0,0.0,24.829364776611328,92.90872955322266,61.02777862548828,21.853174209594727,61.61243438720703,43.85185241699219,25.71825408935547,74.13491821289062,0.0,0.0,0.0
5,0.970287384315163,4594.22216796875,7.051587104797363,0.0,0.0,0.0,25.03174591064453,94.8531723022461,62.461639404296875,22.255290985107422,62.38227462768555,45.502647399902344,25.35846519470215,74.5582046508789,0.0,0.0,0.0
6,0.9687499999995269,4682.328125,7.05555534362793,0.0,0.0,0.0,25.091270446777344,93.65608215332031,61.828041076660156,21.865079879760742,62.07936477661133,46.85317611694336,25.370370864868164,74.12036895751953,0.0,0.0,0.0
7,0.9747572815529248,4760.49609375,7.239418029785156,0.0,0.0,0.0,25.423280715942383,95.4338607788086,62.83994674682617,21.94576644897461,63.07936477661133,47.50529098510742,24.953702926635742,74.49603271484375,0.0,0.0,0.0
8,0.9935162094758138,4833.947265625,7.246031761169434,0.0,0.0,0.0,25.259260177612305,94.41004943847656,62.465606689453125,21.699735641479492,62.79894256591797,48.08201217651367,24.870370864868164,74.35713958740234,0.0,0.0,0.0
9,0.9960199004970169,4582.66796875,6.4060845375061035,0.0,0.0,0.0,24.4761905670166,90.62698364257812,59.85581970214844,20.10978889465332,59.94444274902344,47.842594146728516,23.61111068725586,69.76984405517578,0.0,0.0,0.0
10,0.9960119641071804,4736.6796875,6.73544979095459,0.0,0.0,0.0,24.72486686706543,91.18650817871094,60.89418029785156,20.517196655273438,60.30158615112305,47.869049072265625,23.77248764038086,71.51322937011719,0.0,0.0,0.0
11,0.9929999999995035,4782.09521484375,6.519841194152832,0.0,0.0,0.0,24.120370864868164,91.36243438720703,60.8716926574707,20.183862686157227,60.457672119140625,47.3306884765625,23.238094329833984,69.76322937011719,0.0,0.0,0.0
12,0.9945082376430382,4889.55419921875,6.4563493728637695,0.0,0.0,0.0,24.543651580810547,90.68518829345703,61.33994674682617,19.870370864868164,60.310848236083984,47.01719665527344,23.105819702148438,70.8320083618164,0.0,0.0,0.0
13,0.9980178394445005,4904.9111328125,6.468254089355469,0.0,0.0,0.0,24.326719284057617,91.50396728515625,61.679893493652344,20.007936477661133,61.23677062988281,46.54497528076172,22.812170028686523,69.40079498291016,0.0,0.0,0.0
14,0.9950592885370578,5056.21044921875,6.496031761169434,0.0,0.0,0.0,24.29894256591797,91.15740966796875,62.230159759521484,19.9193115234375,61.22486877441406,45.904762268066406,22.63624382019043,70.18518829345703,0.0,0.0,0.0
15,0.9890438247007026,5114.12060546875,6.551587104797363,0.0,0.0,0.0,24.42195701599121,91.27513122558594,61.900794982910156,19.846561431884766,61.900794982910156,43.26719665527344,22.183862686157227,69.72618865966797,0.0,0.0,0.0
16,0.991008991008496,5181.89697265625,6.416666507720947,0.0,0.0,0.0,24.19444465637207,91.4179916381836,62.574073791503906,19.820106506347656,61.91005325317383,43.715606689453125,22.014551162719727,69.7724838256836,0.0,0.0,0.0
17,0.9985111662526062,5256.041015625,6.482804298400879,0.0,0.0,0.0,24.02513313293457,91.51190185546875,62.76852035522461,19.564815521240234,62.354496002197266,41.925926208496094,21.54894256591797,69.66666412353516,0.0,0.0,0.0
18,0.9970297029698034,5318.85205078125,6.373015880584717,0.0,0.0,0.0,23.708993911743164,91.54100799560547,63.44047546386719,19.61243438720703,62.53042221069336,41.55290985107422,21.380952835083008,69.60449981689453,0.0,0.0,0.0
19,0.9935419771480409,5404.93115234375,6.38095235824585,0.0,0.0,0.0,23.38888931274414,91.32275390625,63.0806884765625,19.36243438720703,62.574073791503906,38.904762268066406,20.932538986206055,69.3531723022461,0.0,0.0,0.0
20,0.9879879879874935,5451.376953125,6.396825313568115,0.0,0.0,0.0,22.914020538330078,90.60449981689453,62.05555725097656,19.466930389404297,62.431217193603516,37.566139221191406,20.601852416992188,68.62301635742188,0.0,0.0,0.0
21,0.9985126425379284,5528.41552734375,6.482804298400879,0.0,0.0,0.0,22.835979461669922,90.62566375732422,61.80026626586914,19.124338150024414,62.31349182128906,36.587303161621094,20.251323699951172,68.51322937011719,0.0,0.0,0.0
22,0.9945679012340768,5588.37451171875,6.435184955596924,0.0,0.0,0.0,22.013227462768555,91.19047546386719,63.16666793823242,19.134920120239258,62.738094329833984,35.341270446777344,20.05423355102539,68.91666412353516,0.0,0.0,0.0
23,0.9895574341118898,5703.77490234375,6.460317611694336,0.0,0.0,0.0,22.215608596801758,91.46693420410156,63.02248764038086,19.100528717041016,62.90211486816406,34.411376953125,19.79894256591797,69.16534423828125,0.0,0.0,0.0
24,0.9935419771480409,5762.5673828125,6.423280239105225,0.0,0.0,0.0,21.824073791503906,91.26587677001953,63.44312286376953,18.97486686706543,63.261905670166016,33.22751235961914,19.630952835083008,68.86243438720703,0.0,0.0,0.0
25,0.9960356788894965,5840.5,6.609788417816162,0.0,0.0,0.0,21.61243438720703,91.97354125976562,64.05422973632812,18.97751235961914,65.38095092773438,32.1693115234375,20.047618865966797,69.0740737915039,0.0,0.0,0.0
26,0.9925335988048818,5885.48828125,9.362433433532715,0.0,0.0,0.0,22.124338150024414,92.55555725097656,64.86375427246094,19.906084060668945,63.60581970214844,30.19709014892578,20.207672119140625,69.63491821289062,0.0,0.0,0.0
27,0.9970238095233149,5891.24853515625,10.800264358520508,0.0,0.0,0.0,21.60714340209961,92.77909851074219,65.50926208496094,19.244709014892578,65.57010650634766,29.044973373413086,20.69841194152832,68.5079345703125,0.0,0.0,0.0
28,0.9950298210730641,5816.25927734375,11.478836059570312,0.0,0.0,0.0,23.23015785217285,92.44047546386719,65.05952453613281,19.80158805847168,63.32672119140625,30.242063522338867,20.423280715942383,70.1031723022461,0.0,0.0,0.0
29,0.9872549019603004,5843.552734375,12.074073791503906,0.0,0.0,0.0,24.753969192504883,95.2433853149414,68.30687713623047,19.575397491455078,67.35581970214844,36.29894256591797,21.30158805847168,70.7513198852539,0.0,0.0,0.0
30,0.9842364532014856,5974.14697265625,13.08465576171875,0.0,0.0,0.0,28.63756561279297,97.51190185546875,68.93650817871094,20.505290985107422,67.55158996582031,38.22883605957031,21.205026626586914,72.56217193603516,0.0,0.0,0.0
31,0.985119047618559,6033.671875,12.907407760620117,0.0,0.0,0.0,30.214284896850586,99.21825408935547,73.80158996582031,20.707672119140625,71.27777862548828,43.07936477661133,22.10714340209961,74.5793685913086,0.0,0.0,0.0
32,0.9729468599029116,6013.05029296875,13.879630088806152,0.0,0.0,0.0,33.55952453613281,100.67460632324219,74.2433853149414,21.822751998901367,71.35846710205078,43.939151763916016,21.75,74.9933853149414,0.0,0.0,0.0
33,0.9727891156457859,6190.55810546875,13.337301254272461,0.0,0.0,0.0,34.626983642578125,103.29762268066406,79.70899200439453,22.374338150024414,74.86904907226562,46.74867630004883,22.601852416992188,78.92195892333984,0.0,0.0,0.0
34,0.9706457925631259,6192.49755859375,14.521163940429688,0.0,0.0,0.0,36.69576644897461,105.10846710205078,82.29629516601562,23.910053253173828,75.9854507446289,47.96296310424805,22.35714340209961,80.10053253173828,0.0,0.0,0.0
35,0.9531471840979872,6029.578125,13.509259223937988,0.0,0.0,0.0,36.39285659790039,105.17857360839844,84.05026245117188,23.35978889465332,76.69444274902344,48.985450744628906,23.124338150024414,79.88888549804688,0.0,0.0,0.0
36,0.9567284831188984,6170.373046875,14.69179916381836,0.0,0.0,0.0,37.86507797241211,107.17460632324219,83.2513198852539,24.792327880859375,79.22354125976562,49.75925827026367,23.129629135131836,81.39286041259766,0.0,0.0,0.0
37,0.9059829059824984,5676.81591796875,13.52645492553711,1.0,0.0,0.0,36.60317611694336,104.64550018310547,82.45767211914062,24.16666603088379,78.1626968383789,49.71825408935547,23.537036895751953,77.48412322998047,0.0,0.0,0.0
38,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,
