condition,protein,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
baseline,,0.5743682310468277,6005.90087890625,404.2250061035156,1.0,1.0,0.0,410.0570068359375,426.7984924316406,412.76776123046875,405.53173828125,416.3082580566406,376.2090148925781,396.16900634765625,411.4617614746094,7.0,12599899.0,1.0
control,,0.5771932985046699,6051.0029296875,402.9169921875,1.0,1.0,0.0,411.76300048828125,425.3169860839844,411.1507568359375,405.36224365234375,414.80474853515625,372.7854919433594,393.96575927734375,409.77899169921875,7.0,12619140.0,1.0
perturb,protein_1,0.5725646123259402,6058.259765625,403.9987487792969,1.0,1.0,0.0,412.5945129394531,424.8475036621094,413.7022399902344,407.6767578125,416.9519958496094,373.6162414550781,396.4830017089844,412.54376220703125,7.0,12613016.0,1.0
perturb,protein_2,0.578217821782074,6113.52880859375,403.11749267578125,1.0,1.0,0.0,409.1862487792969,425.6614990234375,412.864990234375,405.4862365722656,414.9849853515625,374.3657531738281,394.35626220703125,411.82501220703125,7.0,12606213.0,1.0
perturb,protein_3,0.5692028985506215,6032.6455078125,404.9389953613281,1.0,1.0,0.0,411.1612548828125,427.8869934082031,415.9327392578125,406.14898681640625,416.6960144042969,377.2332458496094,396.78326416015625,414.5822448730469,7.0,12620906.0,1.0
perturb,protein_4,0.5779618293121033,6155.4765625,404.3550109863281,1.0,1.0,0.0,411.0469970703125,428.02349853515625,414.23724365234375,407.0687561035156,417.4882507324219,374.18499755859375,395.63824462890625,413.8422546386719,7.0,12607871.0,1.0
perturb,protein_5,0.5761672976382591,5981.01904296875,406.989990234375,1.0,1.0,0.0,413.708251953125,426.1600036621094,412.875244140625,407.9517517089844,418.0747375488281,376.4122619628906,397.8217468261719,413.9497375488281,7.0,12666578.0,1.0
perturb,protein_6,0.5723065798986673,5944.52783203125,405.0372619628906,1.0,1.0,0.0,412.041259765625,427.5205078125,413.1882629394531,407.7659912109375,416.5532531738281,374.9362487792969,395.94775390625,412.79974365234375,7.0,12630016.0,1.0
perturb,protein_7,0.5710150171882448,6104.10986328125,404.4252624511719,1.0,1.0,0.0,409.5902404785156,428.6937561035156,413.3034973144531,405.9437561035156,416.8385009765625,374.37799072265625,396.2032470703125,411.76324462890625,7.0,12618702.0,1.0
perturb,protein_8,0.5671262699563557,6007.341796875,404.88824462890625,1.0,1.0,0.0,411.9262390136719,424.8244934082031,413.7550048828125,405.68701171875,417.5762634277344,374.83026123046875,395.4622497558594,411.08123779296875,7.0,12637524.0,1.0
perturb,protein_9,0.5699800832879648,6029.46484375,405.6394958496094,1.0,1.0,0.0,411.44500732421875,428.5722351074219,414.0722351074219,405.792236328125,417.0507507324219,376.0409851074219,396.8392639160156,414.1392517089844,7.0,12633041.0,1.0
perturb,protein_10,0.5647828457204134,6014.453125,403.8792419433594,1.0,1.0,0.0,412.572509765625,429.3175048828125,415.6994934082031,408.91876220703125,417.3757629394531,377.1442565917969,396.8072509765625,414.6617431640625,7.0,12669933.0,1.0
perturb,protein_11,0.5766804829698006,6046.94189453125,405.6887512207031,1.0,1.0,0.0,411.8612365722656,427.8162536621094,415.48223876953125,406.70623779296875,417.051513671875,375.76300048828125,396.4467468261719,413.1524963378906,7.0,12607268.0,1.0
perturb,protein_12,0.5590220762633535,6139.3251953125,408.0329895019531,1.0,1.0,0.0,413.97625732421875,429.9072570800781,415.81201171875,409.0740051269531,419.90576171875,377.4732360839844,397.2590026855469,414.5065002441406,7.0,12683965.0,1.0
perturb,protein_13,0.5632162997997884,6086.38623046875,404.39874267578125,1.0,1.0,0.0,410.7309875488281,424.4914855957031,413.36700439453125,404.9312438964844,413.59375,373.6415100097656,395.5245056152344,412.9217529296875,7.0,12610046.0,1.0
perturb,protein_14,0.5779618293121033,6054.578125,406.13848876953125,1.0,1.0,0.0,411.8349914550781,426.25201416015625,412.4645080566406,405.9907531738281,416.6137390136719,375.2919921875,396.5567626953125,412.7172546386719,7.0,12621521.0,1.0
