day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9724770642197139,4173.123046875,7.109788417816162,0.0,0.0,0.0,24.199735641479492,93.05158996582031,60.310848236083984,22.403438568115234,60.8862419128418,31.829364776611328,26.05555534362793,73.74470520019531,0.0,0.0,0.0
1,0.9664233576637633,4286.51171875,7.048941612243652,0.0,0.0,0.0,24.103174209594727,94.65740966796875,62.157405853271484,22.253969192504883,61.6693115234375,36.760581970214844,26.018518447875977,74.66666412353516,0.0,0.0,0.0
2,0.9638318670572025,4365.8623046875,6.968254089355469,0.0,0.0,0.0,24.4761905670166,93.56217193603516,60.97883605957031,22.070106506347656,61.19973373413086,39.19444274902344,26.059524536132812,74.1706314086914,0.0,0.0,0.0
3,0.9727891156457859,4448.09912109375,6.984127044677734,0.0,0.0,0.0,24.6455020904541,95.00396728515625,62.64418029785156,22.369047164916992,62.45105743408203,42.72222137451172,25.783069610595703,74.87301635742188,0.0,0.0,0.0
4,0.9712615684359613,4533.7978515625,6.911375522613525,0.0,0.0,0.0,24.825397491455078,93.92989349365234,61.626983642578125,22.10978889465332,62.2023811340332,44.099205017089844,25.817461013793945,74.46163940429688,0.0,0.0,0.0
5,0.9717624147999164,4597.0302734375,6.996031761169434,0.0,0.0,0.0,24.88624382019043,94.89814758300781,62.19709014892578,22.071428298950195,62.83465576171875,46.433860778808594,25.54894256591797,74.79629516601562,0.0,0.0,0.0
6,0.9742593491981669,4672.1943359375,7.011904716491699,0.0,0.0,0.0,24.97089958190918,94.07804107666016,60.604496002197266,21.36375617980957,62.63359832763672,46.933860778808594,25.449735641479492,73.74735260009766,0.0,0.0,0.0
7,0.9722627737221546,4755.49462890625,7.128306865692139,0.0,0.0,0.0,24.9193115234375,95.68518829345703,62.19312286376953,21.969575881958008,63.689151763916016,48.239418029785156,25.181217193603516,74.49073791503906,0.0,0.0,0.0
8,0.9874812218322546,4832.00146484375,7.191799163818359,0.0,0.0,0.0,24.765872955322266,95.18782806396484,61.81745910644531,21.63359832763672,63.29894256591797,48.33994674682617,25.120370864868164,74.4986801147461,0.0,0.0,0.0
9,0.9920239282148594,4579.57666015625,6.437830924987793,0.0,0.0,0.0,24.50264549255371,92.3320083618164,61.150794982910156,20.04894256591797,61.318782806396484,47.489418029785156,23.617725372314453,70.9775161743164,0.0,0.0,0.0
10,0.9955112219446407,4757.6572265625,6.804232597351074,0.0,0.0,0.0,24.35846519470215,92.96693420410156,61.37963104248047,20.517196655273438,61.60846710205078,47.67063522338867,23.763227462768555,71.90608215332031,0.0,0.0,0.0
11,0.9955112219446407,4789.291015625,6.562169075012207,0.0,0.0,0.0,23.768518447875977,91.38756561279297,60.095237731933594,19.990739822387695,60.78042221069336,44.068782806396484,22.911375045776367,69.96428680419922,0.0,0.0,0.0
12,0.9970119521907386,4892.947265625,6.648148059844971,0.0,0.0,0.0,23.326719284057617,91.62301635742188,60.89682388305664,19.929893493652344,60.86507797241211,43.65608596801758,22.72751235961914,71.0952377319336,0.0,0.0,0.0
13,0.9950099800394236,4957.8427734375,6.440476417541504,0.0,0.0,0.0,23.066137313842773,91.87433624267578,60.69179916381836,19.66534423828125,61.44179916381836,42.61640167236328,22.24735450744629,70.22618865966797,0.0,0.0,0.0
14,0.9940059940054975,5046.2607421875,6.551587104797363,0.0,0.0,0.0,23.52910041809082,91.70237731933594,61.234127044677734,19.66798973083496,61.28571319580078,41.82672119140625,22.05820083618164,70.44047546386719,0.0,0.0,0.0
15,0.9960119641071804,5134.35693359375,6.477513313293457,0.0,0.0,0.0,23.27513313293457,92.12301635742188,61.58994674682617,19.38359832763672,61.76852035522461,41.087303161621094,21.481481552124023,70.18782806396484,0.0,0.0,0.0
