day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9757751937979768,4173.25,7.083333492279053,0.0,0.0,0.0,24.21825408935547,93.0224838256836,60.30820083618164,22.35714340209961,60.876983642578125,31.845237731933594,26.099206924438477,73.7486801147461,0.0,0.0,0.0
1,0.9722627737221546,4286.72900390625,7.189153671264648,0.0,0.0,0.0,23.986772537231445,94.66402435302734,62.243385314941406,22.3306884765625,61.56745910644531,36.752647399902344,26.121692657470703,74.86772155761719,0.0,0.0,0.0
2,0.9652131308177535,4369.10205078125,7.338624477386475,0.0,0.0,0.0,24.345237731933594,93.10185241699219,60.63756561279297,22.047618865966797,61.341270446777344,39.25132369995117,26.13359832763672,73.99603271484375,0.0,0.0,0.0
3,0.9732620320850883,4445.59130859375,7.267195701599121,0.0,0.0,0.0,24.384920120239258,94.62963104248047,61.80820083618164,22.424602508544922,62.30555725097656,42.764549255371094,25.898147583007812,74.42857360839844,0.0,0.0,0.0
4,0.9757751937979768,4527.56494140625,7.214285850524902,0.0,0.0,0.0,24.66269874572754,93.54100799560547,62.13227462768555,22.314815521240234,61.77116394042969,44.15211486816406,25.821428298950195,74.37301635742188,0.0,0.0,0.0
5,0.9722897423427456,4613.16796875,7.222222328186035,0.0,0.0,0.0,24.77910041809082,95.06217193603516,63.066139221191406,22.56084632873535,62.76852035522461,46.39285659790039,25.64021110534668,75.21693420410156,0.0,0.0,0.0
6,0.9667644183768491,4698.0966796875,7.212963104248047,0.0,0.0,0.0,24.984127044677734,93.96031951904297,61.784393310546875,22.316137313842773,62.492061614990234,47.0806884765625,25.428571701049805,74.75529479980469,0.0,0.0,0.0
7,0.966259168703684,4774.32958984375,7.25,0.0,0.0,0.0,25.238094329833984,95.07804107666016,62.22618865966797,22.292327880859375,63.3716926574707,48.13756561279297,25.148147583007812,74.69444274902344,0.0,0.0,0.0
8,0.9935226706522204,4852.41650390625,7.240740776062012,0.0,0.0,0.0,25.210317611694336,93.82672119140625,61.44047546386719,21.847883224487305,63.39418029785156,50.30820083618164,25.16666603088379,74.31481170654297,0.0,0.0,0.0
9,0.9945246391234472,4614.26171875,6.505290985107422,0.0,0.0,0.0,24.1693115234375,89.91666412353516,58.88756561279297,20.130952835083008,60.22354507446289,49.338623046875,23.89285659790039,69.87301635742188,0.0,0.0,0.0
10,0.991495747873441,4776.95654296875,6.830687999725342,0.0,0.0,0.0,24.559524536132812,91.16666412353516,60.14285659790039,20.734127044677734,60.74603271484375,49.66402053833008,24.246030807495117,71.9034423828125,0.0,0.0,0.0
11,0.9904857285923934,4818.4814453125,6.646825313568115,0.0,0.0,0.0,23.664020538330078,90.81481170654297,59.80423355102539,20.324073791503906,60.570106506347656,49.35714340209961,23.55423355102539,70.30687713623047,0.0,0.0,0.0
12,0.9980119284289274,4931.7197265625,6.697090148925781,0.0,0.0,0.0,24.14285659790039,91.30555725097656,60.81745910644531,20.6931209564209,61.24867630004883,50.33333206176758,23.764551162719727,71.47618865966797,0.0,0.0,0.0
13,0.9990069513401196,4985.97216796875,6.7089948654174805,0.0,0.0,0.0,23.764551162719727,91.2513198852539,60.91666793823242,20.36111068725586,61.243385314941406,49.24867630004883,23.183862686157227,70.1468276977539,0.0,0.0,0.0
14,0.9925037481254411,5073.1376953125,6.640211582183838,0.0,0.0,0.0,23.708993911743164,91.2486801147461,62.006614685058594,20.644180297851562,61.6216926574707,48.912696838378906,23.373016357421875,71.29232788085938,0.0,0.0,0.0
15,0.9929999999995035,5139.5556640625,6.681216716766357,0.0,0.0,0.0,23.481481552124023,90.96031951904297,62.02777862548828,20.25,61.11243438720703,46.54894256591797,22.705026626586914,70.14153289794922,0.0,0.0,0.0
16,0.9955112219446407,5199.6005859375,6.703703880310059,0.0,0.0,0.0,23.597883224487305,90.7420654296875,63.14021301269531,20.703702926635742,61.21825408935547,47.38227462768555,22.783069610595703,70.63359832763672,0.0,0.0,0.0
17,0.9985082048727009,5252.81494140625,6.648148059844971,0.0,0.0,0.0,23.72354507446289,90.82539367675781,63.38756561279297,20.347883224487305,61.22618865966797,45.600528717041016,21.933862686157227,69.91534423828125,0.0,0.0,0.0
18,0.9945082376430382,5316.77783203125,6.787036895751953,0.0,0.0,0.0,23.485448837280273,90.52381134033203,63.56745910644531,20.710317611694336,61.338623046875,43.47354507446289,22.1455020904541,70.07539367675781,0.0,0.0,0.0
19,0.9970119521907386,5403.4814453125,6.537036895751953,0.0,0.0,0.0,23.006614685058594,90.26587677001953,63.657405853271484,20.271163940429688,61.497352600097656,43.23147964477539,21.4193115234375,70.05290985107422,0.0,0.0,0.0
20,0.9935032483753156,5438.09912109375,6.625661373138428,0.0,0.0,0.0,23.092592239379883,89.83995056152344,64.11508178710938,20.547618865966797,61.56216812133789,41.93650817871094,21.4761905670166,70.02116394042969,0.0,0.0,0.0
21,0.9990059642142152,5485.18896484375,6.533068656921387,0.0,0.0,0.0,22.911375045776367,89.62169647216797,64.42195892333984,20.23015785217285,61.756614685058594,41.4669303894043,20.996030807495117,69.47090148925781,0.0,0.0,0.0
22,0.9945082376430382,5568.06201171875,6.453703880310059,0.0,0.0,0.0,22.990739822387695,89.02777862548828,64.38756561279297,20.335979461669922,61.838623046875,40.32672119140625,20.855819702148438,69.0873031616211,0.0,0.0,0.0
23,0.990476190475694,5602.216796875,6.44444465637207,0.0,0.0,0.0,22.681217193603516,88.1693115234375,64.17327880859375,20.10846519470215,61.006614685058594,38.14682388305664,20.440475463867188,68.60581970214844,0.0,0.0,0.0
24,0.9935865811539252,5706.47607421875,6.437830924987793,0.0,0.0,0.0,22.738094329833984,87.661376953125,63.44312286376953,20.13359832763672,61.546295166015625,36.97751235961914,19.94841194152832,67.74603271484375,0.0,0.0,0.0
25,0.989598811292229,5817.10595703125,6.38095235824585,0.0,0.0,0.0,22.410053253173828,87.63095092773438,63.74867630004883,20.243385314941406,62.03571319580078,35.5806884765625,19.789682388305664,68.21031951904297,0.0,0.0,0.0
26,0.9860557768919392,5887.66259765625,6.488095283508301,0.0,0.0,0.0,22.403438568115234,87.88491821289062,63.37036895751953,20.050264358520508,62.09391403198242,35.30026626586914,19.402116775512695,67.57804107666016,0.0,0.0,0.0
27,0.984359726294729,5847.31884765625,6.359788417816162,0.0,0.0,0.0,22.117725372314453,88.06481170654297,63.18650817871094,19.85714340209961,62.564815521240234,34.5476188659668,19.17195701599121,66.71428680419922,0.0,0.0,0.0
28,0.9848262359270755,6043.7197265625,6.650793552398682,0.0,0.0,0.0,23.88756561279297,89.12169647216797,65.84920501708984,20.396825790405273,63.179893493652344,35.39418029785156,19.13624382019043,67.9206314086914,0.0,0.0,0.0
29,0.9682692307687653,6033.50244140625,6.144179821014404,0.0,0.0,0.0,21.896825790405273,87.02513122558594,64.1468276977539,19.95105743408203,63.38359832763672,31.94179916381836,18.490739822387695,66.60978698730469,0.0,0.0,0.0
30,0.9611273080656165,6245.69189453125,6.41005277633667,0.0,0.0,0.0,22.042327880859375,87.93121337890625,64.8320083618164,20.296297073364258,64.1693115234375,32.46296310424805,18.460317611694336,67.1706314086914,0.0,0.0,0.0
31,0.9668615984400747,6369.74853515625,6.432539463043213,0.0,0.0,0.0,21.410053253173828,87.13095092773438,63.50925827026367,19.80820083618164,64.13095092773438,31.510581970214844,18.18915367126465,66.21825408935547,0.0,0.0,0.0
32,0.938490214351846,6087.31201171875,5.957672119140625,1.0,0.0,0.0,21.242063522338867,82.04232788085938,60.171958923339844,18.933862686157227,61.77645492553711,26.931217193603516,16.960317611694336,63.662696838378906,0.0,0.0,0.0
33,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,
