day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9743589743585029,4173.28173828125,7.111111164093018,0.0,0.0,0.0,24.20105743408203,93.03042602539062,60.29894256591797,22.394180297851562,60.85846710205078,31.838624954223633,26.05158805847168,73.71957397460938,0.0,0.0,0.0
1,0.9713174526004029,4284.5556640625,7.007936477661133,0.0,0.0,0.0,24.070106506347656,94.33995056152344,61.28703689575195,22.203702926635742,61.515872955322266,36.69179916381836,25.94709014892578,74.29762268066406,0.0,0.0,0.0
2,0.9657198824676956,4352.37841796875,7.059523582458496,0.0,0.0,0.0,24.353174209594727,92.46693420410156,59.876983642578125,22.119047164916992,61.30687713623047,38.502647399902344,26.02248764038086,74.05555725097656,0.0,0.0,0.0
3,0.9732620320850883,4456.25146484375,6.974867820739746,0.0,0.0,0.0,24.47486686706543,94.0820083618164,61.33597946166992,22.414020538330078,62.47222137451172,42.47089767456055,25.756614685058594,74.71693420410156,0.0,0.0,0.0
4,0.9743589743585029,4518.35595703125,7.108465671539307,0.0,0.0,0.0,24.433862686157227,92.8161392211914,60.69179916381836,22.228836059570312,62.207672119140625,43.55158615112305,25.67195701599121,74.26190185546875,0.0,0.0,0.0
5,0.9703163017026909,4606.1533203125,7.23544979095459,0.0,0.0,0.0,24.813491821289062,94.28042602539062,61.82672119140625,22.408729553222656,63.296295166015625,46.05820083618164,25.505290985107422,74.79364776611328,0.0,0.0,0.0
6,0.9673011224983078,4689.07666015625,7.3214287757873535,0.0,0.0,0.0,24.683862686157227,93.28439331054688,60.99867630004883,22.001323699951172,63.010581970214844,46.764549255371094,25.3544979095459,74.11111450195312,0.0,0.0,0.0
7,0.9728155339801103,4770.7421875,7.5211639404296875,0.0,0.0,0.0,25.11375617980957,94.2566146850586,61.89418029785156,22.119047164916992,64.03836059570312,47.69709014892578,24.906084060668945,74.25926208496094,0.0,0.0,0.0
8,0.9930278884457207,4846.33740234375,7.527777671813965,0.0,0.0,0.0,24.822751998901367,93.46693420410156,61.10978698730469,21.783069610595703,63.515872955322266,46.80952453613281,24.785715103149414,73.70767211914062,0.0,0.0,0.0
9,0.9940298507457741,4601.91552734375,6.7513227462768555,0.0,0.0,0.0,24.170635223388672,88.70502471923828,57.27645492553711,19.83465576171875,60.41534423828125,45.119049072265625,23.4761905670166,68.6547622680664,0.0,0.0,0.0
10,0.9975186104213412,4799.31201171875,7.294973373413086,0.0,0.0,0.0,24.214284896850586,90.87830352783203,59.46957778930664,20.58201026916504,60.98677062988281,43.100528717041016,23.453702926635742,70.53042602539062,0.0,0.0,0.0
11,0.9945191828594945,4819.68896484375,6.98544979095459,0.0,0.0,0.0,24.219575881958008,89.96295928955078,58.21825408935547,19.923280715942383,61.11772537231445,43.12565994262695,22.949735641479492,68.62566375732422,0.0,0.0,0.0
12,0.9889779559113282,4935.58349609375,7.026454925537109,0.0,0.0,0.0,24.248676300048828,90.37169647216797,59.44709014892578,20.042327880859375,61.2089958190918,42.27381134033203,22.760581970214844,69.28836059570312,0.0,0.0,0.0
13,0.99552015928273,5005.83056640625,7.037036895751953,0.0,0.0,0.0,24.160053253173828,90.20899200439453,59.44576644897461,19.72089958190918,61.69179916381836,41.7169303894043,22.338624954223633,68.51719665527344,0.0,0.0,0.0
14,0.9980178394445005,5095.89697265625,6.957672119140625,0.0,0.0,0.0,24.244709014892578,90.35713958740234,60.261905670166016,19.820106506347656,61.85978698730469,40.88756561279297,22.089946746826172,68.89814758300781,0.0,0.0,0.0
15,0.9935162094758138,5157.61376953125,6.984127044677734,0.0,0.0,0.0,23.085979461669922,90.70635223388672,60.650794982910156,19.501323699951172,61.91798782348633,39.97883605957031,21.69841194152832,68.4417953491211,0.0,0.0,0.0
16,0.9955156950667685,5230.93505859375,6.960317611694336,0.0,0.0,0.0,23.563491821289062,90.55952453613281,61.17856979370117,19.592592239379883,61.95634841918945,39.30423355102539,21.47089958190918,68.76587677001953,0.0,0.0,0.0
17,0.996015936254484,5303.73388671875,6.994709014892578,0.0,0.0,0.0,23.320106506347656,90.88756561279297,61.69444274902344,19.399471282958984,62.421958923339844,38.33201217651367,21.120370864868164,68.69841003417969,0.0,0.0,0.0
18,0.9985096870337812,5392.0341796875,6.887566089630127,0.0,0.0,0.0,23.367725372314453,90.98809814453125,62.23147964477539,19.517196655273438,62.69576644897461,37.52910232543945,20.88888931274414,68.89286041259766,0.0,0.0,0.0
19,0.9980119284289274,5454.283203125,6.940476417541504,0.0,0.0,0.0,22.871692657470703,90.95237731933594,62.55555725097656,19.239418029785156,63.01852035522461,36.61640167236328,20.496030807495117,68.87169647216797,0.0,0.0,0.0
20,0.9940119760474082,5545.955078125,6.75,0.0,0.0,0.0,23.0238094329834,91.0965576171875,62.9603157043457,19.22354507446289,63.25,35.7830696105957,20.283069610595703,69.06217193603516,0.0,0.0,0.0
21,0.9970149253726384,5623.41796875,6.828042507171631,0.0,0.0,0.0,22.572751998901367,91.29629516601562,63.29365158081055,19.105819702148438,63.58201217651367,34.933860778808594,19.92195701599121,69.10978698730469,0.0,0.0,0.0
22,0.9975235264977724,5730.45361328125,6.702381134033203,0.0,0.0,0.0,22.617725372314453,91.21693420410156,62.89814758300781,19.123016357421875,63.69179916381836,33.44973373413086,19.521163940429688,69.3320083618164,0.0,0.0,0.0
23,0.9935226706522204,5841.955078125,6.747354507446289,0.0,0.0,0.0,21.923280715942383,92.27777862548828,64.0661392211914,18.988094329833984,64.28704071044922,33.96957778930664,19.46825408935547,69.62433624267578,0.0,0.0,0.0
24,0.9869608826474489,5901.1982421875,6.607142925262451,0.0,0.0,0.0,22.10846519470215,91.38227844238281,63.256614685058594,18.824073791503906,64.13624572753906,30.93915367126465,18.933862686157227,69.35978698730469,0.0,0.0,0.0
25,0.9955156950667685,5996.51318359375,6.681216716766357,0.0,0.0,0.0,21.507936477661133,91.96295928955078,64.01719665527344,18.654762268066406,64.57010650634766,31.202381134033203,18.734127044677734,69.58995056152344,0.0,0.0,0.0
