day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9729468599029116,4173.22216796875,7.109788417816162,0.0,0.0,0.0,24.207672119140625,93.05290985107422,60.320106506347656,22.406084060668945,60.876983642578125,31.83465576171875,26.05158805847168,73.75396728515625,0.0,0.0,0.0
1,0.9678988326843542,4286.552734375,7.027777671813965,0.0,0.0,0.0,24.115079879760742,94.6547622680664,62.22089767456055,22.16269874572754,61.67063522338867,36.77777862548828,26.02777862548828,74.57672119140625,0.0,0.0,0.0
2,0.9632892804694257,4361.5966796875,7.067460536956787,0.0,0.0,0.0,24.496030807495117,93.55687713623047,61.22354507446289,22.563491821289062,61.0806884765625,39.2169303894043,26.038360595703125,74.4775161743164,0.0,0.0,0.0
3,0.9707887049654476,4449.0517578125,7.006613731384277,0.0,0.0,0.0,24.664020538330078,95.09391784667969,62.85714340209961,22.428571701049805,62.27381134033203,42.734127044677734,25.788360595703125,75.07010650634766,0.0,0.0,0.0
4,0.9712615684359613,4530.16015625,7.059523582458496,0.0,0.0,0.0,24.8306884765625,93.92195892333984,61.80290985107422,22.203702926635742,62.1137580871582,44.1362419128418,25.80820083618164,74.63227844238281,0.0,0.0,0.0
5,0.9657198824676956,4587.6982421875,7.105820178985596,0.0,0.0,0.0,24.927248001098633,95.5,63.234127044677734,22.246030807495117,62.85714340209961,46.45105743408203,25.511905670166016,75.09788513183594,0.0,0.0,0.0
6,0.9712615684359613,4668.24609375,7.195767402648926,0.0,0.0,0.0,24.981481552124023,94.3306884765625,62.29497528076172,21.907407760620117,62.72751235961914,46.98677062988281,25.424602508544922,74.70237731933594,0.0,0.0,0.0
7,0.9752547307127728,4744.556640625,7.275132179260254,0.0,0.0,0.0,24.928571701049805,95.1679916381836,62.735450744628906,21.94444465637207,63.510581970214844,48.22486877441406,25.100528717041016,74.71295928955078,0.0,0.0,0.0
8,0.9849397590356501,4824.47509765625,7.285714149475098,0.0,0.0,0.0,24.771163940429688,94.56349182128906,61.69179916381836,21.36243438720703,63.32672119140625,48.27513122558594,25.063491821289062,74.02777862548828,0.0,0.0,0.0
9,0.9910179640713618,4539.5224609375,6.3637566566467285,0.0,0.0,0.0,24.537036895751953,90.72618865966797,60.82539749145508,20.13624382019043,60.671958923339844,48.2169303894043,23.76984214782715,70.53306579589844,0.0,0.0,0.0
