condition,protein,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
baseline,,0.9935840986286333,5202.03076171875,86.03825378417969,0.0,1.0,0.0,86.65425109863281,97.12374877929688,88.61824798583984,86.55249786376953,93.34324645996094,53.44525146484375,76.65650177001953,89.78874969482422,3.0,0.0,0.0
control,,0.9935840986286333,5149.98779296875,52.24274826049805,0.0,1.0,0.0,54.14025115966797,64.21700286865234,57.25025177001953,53.95275115966797,61.37525177001953,22.202999114990234,43.925750732421875,57.28350067138672,1.0,0.0,0.0
perturb,protein_1,0.9935840986286333,5255.60791015625,57.428749084472656,0.0,1.0,0.0,59.80924987792969,69.78250122070312,60.69075012207031,60.0052490234375,64.73224639892578,23.70800018310547,47.872249603271484,62.526248931884766,1.0,0.0,0.0
perturb,protein_2,0.9935840986286333,5286.7529296875,77.84950256347656,0.0,1.0,0.0,79.03350067138672,91.36624908447266,83.33499908447266,79.62000274658203,87.72174835205078,46.563751220703125,69.83525085449219,84.26875305175781,3.0,0.0,0.0
perturb,protein_3,0.9935840986286333,5238.953125,68.30425262451172,0.0,1.0,0.0,67.9574966430664,81.25399780273438,75.52275085449219,70.5427474975586,77.50475311279297,37.69725036621094,56.0047492980957,72.5512466430664,2.0,0.0,0.0
perturb,protein_4,0.9935840986286333,5279.2705078125,79.84925079345703,0.0,1.0,0.0,81.05924987792969,93.4375,85.1812515258789,81.25225067138672,89.89375305175781,48.2869987487793,71.59825134277344,85.62049865722656,3.0,0.0,0.0
perturb,protein_5,0.9935840986286333,5175.822265625,53.70724868774414,0.0,1.0,0.0,55.133750915527344,65.36949920654297,58.26100158691406,54.8337516784668,61.986000061035156,22.618749618530273,45.0307502746582,57.81050109863281,1.0,0.0,0.0
perturb,protein_6,0.9935840986286333,5282.5654296875,65.08274841308594,0.0,1.0,0.0,66.64624786376953,77.52050018310547,70.07749938964844,66.52925109863281,73.66950225830078,30.817249298095703,55.659751892089844,70.80175018310547,2.0,0.0,0.0
perturb,protein_7,0.9935840986286333,5229.73779296875,55.869998931884766,0.0,1.0,0.0,57.14550018310547,68.79149627685547,59.638999938964844,57.43925094604492,64.21399688720703,24.58424949645996,47.460750579833984,61.17449951171875,1.0,0.0,0.0
perturb,protein_8,0.9935840986286333,5212.08056640625,54.67274856567383,0.0,1.0,0.0,55.66550064086914,65.76100158691406,59.05799865722656,55.95524978637695,62.54349899291992,22.861000061035156,46.02450180053711,59.8385009765625,1.0,0.0,0.0
perturb,protein_9,0.9935840986286333,5283.47998046875,72.50975036621094,0.0,1.0,0.0,74.0302505493164,83.4227523803711,76.69525146484375,73.31649780273438,81.1032485961914,36.282249450683594,63.765750885009766,76.87474822998047,3.0,0.0,0.0
perturb,protein_10,0.9935840986286333,5264.01416015625,53.89350128173828,0.0,1.0,0.0,55.73699951171875,68.21299743652344,58.34375,55.89274978637695,63.25699996948242,23.699499130249023,45.64950180053711,59.701751708984375,1.0,0.0,0.0
perturb,protein_11,0.9935840986286333,5183.07177734375,56.74700164794922,0.0,1.0,0.0,57.43199920654297,67.91224670410156,60.71324920654297,57.90924835205078,64.58200073242188,25.57324981689453,47.592750549316406,61.07225036621094,1.0,0.0,0.0
perturb,protein_12,0.9935840986286333,5290.39208984375,80.82575225830078,0.0,1.0,0.0,79.62200164794922,96.63825225830078,89.03450012207031,81.61799621582031,90.50450134277344,48.86650085449219,70.99725341796875,87.32025146484375,3.0,0.0,0.0
