day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9743589743585029,4173.14794921875,7.08994722366333,0.0,0.0,0.0,24.207672119140625,93.03042602539062,60.30687713623047,22.39021110534668,60.880950927734375,31.851852416992188,26.068782806396484,73.69577026367188,0.0,0.0,0.0
1,0.9688109161788651,4285.08056640625,7.022486686706543,0.0,0.0,0.0,24.125661849975586,94.4417953491211,61.3716926574707,22.164020538330078,61.457672119140625,36.64418029785156,25.986772537231445,74.2645492553711,0.0,0.0,0.0
2,0.967237163813708,4365.369140625,7.0436506271362305,0.0,0.0,0.0,24.49735450744629,93.24073791503906,60.425926208496094,21.97486686706543,61.264549255371094,39.05026626586914,26.0238094329834,73.9933853149414,0.0,0.0,0.0
3,0.9748305905125969,4443.115234375,6.961640357971191,0.0,0.0,0.0,24.61243438720703,94.41402435302734,61.757938385009766,22.150793075561523,62.08333206176758,41.485450744628906,25.72751235961914,74.66004943847656,0.0,0.0,0.0
4,0.9732880038849085,4514.34521484375,6.8439154624938965,0.0,0.0,0.0,24.825397491455078,92.62963104248047,60.45634841918945,21.735448837280273,61.64814758300781,43.83597946166992,25.72486686706543,74.17989349365234,0.0,0.0,0.0
5,0.9717624147999164,4598.27001953125,6.932539463043213,0.0,0.0,0.0,25.003969192504883,94.48015594482422,61.9589958190918,22.0806884765625,62.427249908447266,45.52645492553711,25.423280715942383,74.79629516601562,0.0,0.0,0.0
6,0.9727626459139238,4672.052734375,6.798941612243652,0.0,0.0,0.0,25.074073791503906,93.43915557861328,61.373016357421875,21.72089958190918,62.11640167236328,46.80687713623047,25.371692657470703,74.10846710205078,0.0,0.0,0.0
7,0.9717624147999164,4753.42333984375,7.010581970214844,0.0,0.0,0.0,25.39153480529785,94.9338607788086,62.435184478759766,21.908729553222656,63.11640167236328,47.46957778930664,25.017196655273438,74.58333587646484,0.0,0.0,0.0
8,0.9935162094758138,4833.40087890625,6.986772537231445,0.0,0.0,0.0,25.244709014892578,94.0079345703125,62.161376953125,21.53174591064453,62.92460250854492,48.04497528076172,24.92195701599121,74.3320083618164,0.0,0.0,0.0
9,0.999007936507441,4581.68505859375,6.3214287757873535,0.0,0.0,0.0,24.309524536132812,90.2486801147461,59.74603271484375,20.187829971313477,60.08333206176758,47.83333206176758,23.67195701599121,69.80422973632812,0.0,0.0,0.0
10,0.9950099800394236,4754.3017578125,6.662698268890381,0.0,0.0,0.0,24.486772537231445,91.3531723022461,61.149471282958984,20.85846519470215,60.679893493652344,47.86640167236328,23.822751998901367,72.05158996582031,0.0,0.0,0.0
11,0.9929999999995035,4796.5185546875,6.522486686706543,0.0,0.0,0.0,23.630952835083008,90.55555725097656,58.96825408935547,19.86243438720703,60.1283073425293,47.20634841918945,23.153438568115234,69.60978698730469,0.0,0.0,0.0
12,0.9970119521907386,4890.65625,6.534391403198242,0.0,0.0,0.0,24.11375617980957,90.62566375732422,60.7089958190918,20.335979461669922,60.453704833984375,46.89153289794922,23.08333396911621,70.73412322998047,0.0,0.0,0.0
13,0.9965363681340937,4946.3994140625,6.507936477661133,0.0,0.0,0.0,23.731481552124023,90.93915557861328,59.92856979370117,19.63624382019043,60.818782806396484,46.45502471923828,22.657407760620117,69.31745910644531,0.0,0.0,0.0
14,0.9935483870962811,5095.2646484375,6.480158805847168,0.0,0.0,0.0,24.16269874572754,90.58597564697266,60.79894256591797,19.89153480529785,61.126983642578125,45.97354507446289,22.711639404296875,70.01851654052734,0.0,0.0,0.0
